skr sekarang
jd jadi
sy saya
jgn jangan
kpd kepada
bnyk banyak
yg yang
hncur hancur
cekek cekik
anjirr keren
bully kerjai
konyol lucu
gercep cepat
boong bohong
bo'ong bohong
gebeng horny
a be ge remaja
anak baru gede remaja
ababil remaja labil
abang memanggil laki-laki yang lebih tua
afgan sadis
agan kawan
akik batu permata
akik akika
alay berpakaian berlebihan
ak saya
akyu saya
akoh saya
akooh saya
aq saya
ajib keren
amburadul berantakan
amoy oriental
amsyong sial
ane saya
anjrot anjir
apose apa sih
asem sial
asongan penjaja
asu anjing
babe ayah
beh ayah
banci gay
bencong gay
bences gay
bang memanggil pria yang lebih tua
bahasa gaul slang
bingit sangat
bangsat orang jahat
bangsat sialan
baper sentimentil
beb bayi
begichu begicyu
begindang seperti itu
bego bodoh
begono begini
bengek batuk
bengong terkejut
beol buritan
berbunga-bunga senang
bete bosan
beud sangat
bhay selamat tinggal
bikin membuat
binan homoseksual
bingit banget
bispak mudah berhubungan seks
bisyar bisa dibayar
biyasak biasa
bohay seksi
boil mobil
bokap ayah
bokep film dewasa
boker buritan
bokis berbohong
bonek bondo nekat
bonek suporter sepakbola surabaya
bonyok menyakiti
bonyok ayah dan ibu
bo’ol seks anal
brondong pria muda
brp berapa banyak
buanyak banyak
bujuk dah! holly sial!
bulet bulat
buluk bulukan
cabe-cabean gadis remaja
cabut pergilah
capcus pergilah
cakep bagus dilihat
cekidot coba lihat!
cemban ceban
cembokur jelous
cemen ayam
cemungudh lanjutkan
cengli adil
cepek seratus
cewek gadis
cincay cincai
cingcong kata-kata
cintrong cinta
cie ciye
cipok cipokan
ciyus serius
cobain mencoba
coli brengsek
copas salin dan tempel
cowok anak laki-laki
cuek ceroboh
cuekin tidak keberatan
culun bodoh
cupu tidak trendi
curcol berbagi kisah sedih tentang diri anda (secara implisit)
curhat berbagi kisah sedih tentang diri anda (secara eksplisit)
cuss ayo pergi
cyin cinta
cuy kawan
dancuk brengsek
jancuk brengsek
demen suka
dikit sedikit
dimandose dimana
dimari sini
dl itu risiko anda sendiri
doang hanya
dodol bodoh
doi dia
doku dompet
dong silahkan
drakor serial drama tv korea
dugem dunia malam
duit uang
egp saya tidak peduli
ember  memang
emoh tidak
endes endeus
entot keparat
ente kamu
elo kamu
esek-esek pelacur
eyke saya
fulus uang
futu foto
gaes kawan
gaban sangat besar
gadun orang tua
gaje tidak konsisten
gajebo tidak konsisten
gak ga
galau gelisah
gambreng sangat besar
gamon gagal pindah
gampar menampar
gan kawan
gaplok menampar
garing kuno
gaul bergaul
gawe kerja
gawean pekerjaan
gebet gebetan
geblek bodoh
goblok bodoh
gede besar
gedong sangat besar
ge-er  gede rasa
gr gede rasa
gegara gara-gara
geje tidak konsisten
gelo gila
gemes imut 
gemesin imut 
ngegemesin imut 
gengges imut 
geulis cantik
gimana bagaimana
gmn bagaimana
gocap lima ribu
gokil gila
gombal omong kosong
gopek lima ratus
gorjes menawan
grepe menyentuh tubuh seseorang (secara seksual)
grepe-grepe menyentuh tubuh seseorang (secara seksual)
gretong gretongan
gua saya
gue saya
gw saya
halah ya
hiks mendesah
hombreng homoseksual
igo indonesian girl only (biasanya gambar dan video seksi cewek indonesia eksplisit)
ilfil perasaan sedang buruk
imut imut
jablay pelacur
jaim dangkal
jajan membeli makanan
jamred pesan tertunda
jancuk keparat
japri pesan pribadi
jayus lelucon lemah
jd menjadi
jembut rambut kemaluan
jeng kak
jengkel kesal
jgn tidak
jijay menjijikkan
jomblo  jomlo
jones jomblo ngenes
jutek blak-blakan
kacrut mengisap
kagak tidak
kaki lima pkl
kampret sial
kamseupay norak
kancut pakaian dalam
kate mengatakan
katro katrok
kayak suka
kece keren
kece badai sangat keren
kek kayak
kekasih gelap cinta rahasia
kekinian mutakhir
keleus betulkah
keles betulkah
kelon memeluk
kelupaan lupa
keplak meninju kepala seseorang
kepo bertanya-tanya
kepret menampar
keren keren
ketek ketiak
kena batunya anda telah datang (karma)
kenthu keparat
kentut kentut
kepengen ingin
kere miskin
kesel kesal
kewong kawin
kimpoi pernikahan
knp kenapa
kok (kata tambahan untuk menekankan klarifikasi)
komuk wajah
kongkow bergaul
kontol penis
koplak bodoh
krik lelucon tapi tidak ada yang tertawa
kudet tidak diperbarui dengan situasi saat ini
kumpul kebo  kemitraan dalam negeri
kuper tidak bersosialisasi
kzl kesal
laf cinta
laper lapar
lapsyong lapar
lebay overacting
lekong pria
leyeh-leyeh berbaring
leyehan berbaring
lho kamu
lupita kamu
lo kamu
loe  kamu
lonte pelacur
lupita lupa
macacih betulkah? apakah kamu yakin
macapah maciapah
makacih makasih
mager malas
"malam jumat  kamis malam (jika ""malam"" berkata di depan hari itu"
malam minggu malem minggu
malming malam minggu
markipul mari kita pulang
masak sih betulkah? apakah kamu yakin
matre materialistis
mbalelo tidak taat
mejeng lihat dan dilihat
meki vagina
meler pilek
memek vagina
